ticket_id,project_id,title,description,status,priority,assigned_to_employee_id,customer_id,created_at,closed_at
123,4,Request: Custom dashboard for production [POC],Issue reported: Request: Custom dashboard for production. Customer Rich Spencer This is affecting multiple users. Action required: coordinate with customer and coordinate with customer. Impact: high | Environment: production,In Progress,Medium,23,4,2024-08-19,
124,2,Production Pipeline crash in production [Smith],Issue reported: Production Pipeline crash in production. Customer Smith Miller and Huynh This is impacting SLA. Action required: coordinate with customer and coordinate with customer. Frequency: consistent | Impact: high,Resolved,High,16,20,2023-03-25,2025-03-19
125,8,Dashboard memory leak [Rhodes],Issue reported: Dashboard memory leak. Customer Rhodes Burke and Love This is preventing access. Action required: apply hotfix and implement workaround. First observed: 2024-02-15 | Environment: staging,In Progress,Medium,8,9,2023-06-03,
126,5,High priority Backend malfunction in data pipeline [DataPipeline],Issue reported: High priority Backend malfunction in data pipeline. Customer Taylor Group This is affecting multiple users. Action required: apply hotfix and implement workaround. Impact: critical | Frequency: sporadic,Resolved,High,23,10,2023-11-12,2023-02-02
127,11,Request: Custom dashboard for user workflow [Internal],Issue reported: Request: Custom dashboard for user workflow. This is preventing access. Action required: coordinate with customer and coordinate with customer. Environment: pre-prod | Impact: critical,In Progress,Medium,3,,2023-01-24,
128,5,Service high latency [DataPipeline],Issue reported: Service high latency. Customer Taylor Group This is impacting SLA. Action required: implement workaround and apply hotfix. First observed: 2024-09-26 | Environment: staging,In Progress,High,8,10,2023-10-04,
129,12,Unable to generate report - resource exhausted [Internal],Issue reported: Unable to generate report - resource exhausted. This is affecting multiple users. Action required: apply hotfix and escalate to engineering. First observed: 2023-08-23 | Frequency: sporadic,In Progress,Medium,19,,2022-11-11,
130,1,Request: Enhanced logging for staging [Internal],Issue reported: Request: Enhanced logging for staging. This is preventing access. Action required: apply hotfix and investigate root cause. Environment: pre-prod | Frequency: sporadic,Open,Medium,6,,2022-01-31,
131,9,Request: API access for data pipeline [Pilot],Issue reported: Request: API access for data pipeline. Customer Newman Green and Fletcher This is impacting SLA. Action required: coordinate with customer and escalate to engineering. Impact: user-facing | Frequency: consistent,Open,Medium,3,1,2024-10-22,
132,1,Production Module error in development [Internal],Issue reported: Production Module error in development. This is preventing access. Action required: escalate to engineering and implement workaround. First observed: 2023-09-24 | Frequency: sporadic,In Progress,High,19,,2023-04-07,
133,4,Data export causing bug [POC],Issue reported: Data export causing bug. Customer Rich Spencer This is blocking deployment. Action required: implement workaround and implement workaround. Frequency: increasing | Impact: user-facing,Resolved,High,6,4,2023-12-12,2023-06-03
134,11,Authentication high latency [Internal],Issue reported: Authentication high latency. This is preventing access. Action required: implement workaround and coordinate with customer. Impact: high | Frequency: consistent,In Progress,Critical,24,,2022-10-27,
135,12,Dashboard performance degradation [Internal],Issue reported: Dashboard performance degradation. This is impacting SLA. Action required: implement workaround and escalate to engineering. First observed: 2024-07-07 | Frequency: intermittent,Resolved,Medium,13,,2022-02-15,2024-06-27
136,4,Request: API access for development [POC],Issue reported: Request: API access for development. Customer Rich Spencer This is causing data inconsistency. Action required: investigate root cause and coordinate with customer. First observed: 2023-03-31 | Environment: production,Resolved,High,1,4,2022-12-08,2025-03-22
137,3,Request: Audit trail for development [Davies],Issue reported: Request: Audit trail for development. Customer Davies Johnson This is impacting SLA. Action required: implement workaround and implement workaround. Impact: high | Frequency: increasing,Open,Medium,17,22,2024-09-19,
138,2,Production API crash in client environment [Smith],Issue reported: Production API crash in client environment. Customer Smith Miller and Huynh This is blocking deployment. Action required: escalate to engineering and escalate to engineering. Frequency: sporadic | Environment: production,Closed,Medium,1,20,2023-08-20,2025-09-01
139,4,Unable to complete sync - null pointer [POC],Issue reported: Unable to complete sync - null pointer. Customer Rich Spencer This is causing data inconsistency. Action required: apply hotfix and escalate to engineering. Frequency: increasing | Environment: pre-prod,Open,Medium,12,4,2024-01-04,
140,3,High priority Dashboard timeout in client environment [Davies],Issue reported: High priority Dashboard timeout in client environment. Customer Davies Johnson This is blocking deployment. Action required: coordinate with customer and escalate to engineering. Frequency: sporadic | Impact: user-facing,Resolved,Medium,11,22,2022-08-21,2024-11-03
141,7,Pipeline running slow [SecureGate],Issue reported: Pipeline running slow. Customer Jordan Ltd This is impacting SLA. Action required: escalate to engineering and escalate to engineering. Impact: user-facing | Frequency: sporadic,Open,Medium,12,6,2023-10-08,
142,4,Module running slow [POC],Issue reported: Module running slow. Customer Rich Spencer This is blocking deployment. Action required: escalate to engineering and escalate to engineering. Impact: critical | Frequency: consistent,Resolved,Medium,5,4,2023-05-05,2024-02-19
143,7,Urgent Authentication timeout in data pipeline [SecureGate],Issue reported: Urgent Authentication timeout in data pipeline. Customer Jordan Ltd This is blocking deployment. Action required: apply hotfix and coordinate with customer. Environment: pre-prod | Impact: medium,Resolved,Low,13,6,2023-03-01,2023-02-26
144,5,Sync process causing problem [DataPipeline],Issue reported: Sync process causing problem. This is causing data inconsistency. Action required: implement workaround and apply hotfix. Frequency: sporadic | First observed: 2023-12-06,In Progress,Medium,5,,2022-02-04,
145,7,Request: API access for user workflow [SecureGate],Issue reported: Request: API access for user workflow. Customer Jordan Ltd This is preventing access. Action required: escalate to engineering and implement workaround. Frequency: intermittent | Environment: production,Resolved,Medium,12,6,2024-03-23,2024-12-02
146,8,Customer-facing API bug in staging [Rhodes],Issue reported: Customer-facing API bug in staging. This is causing data inconsistency. Action required: coordinate with customer and coordinate with customer. First observed: 2023-01-17 | Frequency: sporadic,Resolved,Medium,15,,2023-06-04,2025-02-09
147,6,Request: Audit trail for client environment [Carpenter],Issue reported: Request: Audit trail for client environment. Customer Carpenter Garcia This is impacting SLA. Action required: apply hotfix and implement workaround. Frequency: sporadic | Impact: user-facing,Open,Medium,19,26,2022-07-09,
148,2,Data export causing crash [Smith],Issue reported: Data export causing crash. This is blocking deployment. Action required: apply hotfix and escalate to engineering. Environment: production | First observed: 2023-05-21,Open,Medium,24,,2022-05-24,
149,8,Dashboard running slow [Rhodes],Issue reported: Dashboard running slow. Customer Rhodes Burke and Love This is causing data inconsistency. Action required: implement workaround and apply hotfix. Frequency: intermittent | First observed: 2023-11-27,Open,High,20,9,2024-02-11,
150,3,High priority Backend error in user workflow [Davies],Issue reported: High priority Backend error in user workflow. Customer Davies Johnson This is causing data inconsistency. Action required: coordinate with customer and escalate to engineering. Environment: pre-prod | First observed: 2023-06-03,Closed,Low,12,22,2022-01-06,2025-11-02
151,4,Unable to export data - connection refused [POC],Issue reported: Unable to export data - connection refused. This is preventing access. Action required: coordinate with customer and investigate root cause. Frequency: sporadic | First observed: 2024-09-14,Resolved,Medium,25,,2024-06-26,2025-01-25
152,11,Unable to access dashboard - permission denied [Internal],Issue reported: Unable to access dashboard - permission denied. This is impacting SLA. Action required: coordinate with customer and apply hotfix. First observed: 2023-07-01 | Frequency: increasing,Open,High,1,,2024-04-02,
153,4,Unable to complete sync - resource exhausted [POC],Issue reported: Unable to complete sync - resource exhausted. Customer Rich Spencer This is blocking deployment. Action required: escalate to engineering and investigate root cause. Environment: pre-prod | Impact: medium,Open,High,22,4,2024-04-06,
154,10,Report generation causing problem [MonitorHub],Issue reported: Report generation causing problem. Customer Smith Gibbs and Martin This is blocking deployment. Action required: coordinate with customer and investigate root cause. First observed: 2023-08-09 | Frequency: sporadic,In Progress,Medium,11,31,2022-12-28,
155,10,Request: API access for client environment [MonitorHub],Issue reported: Request: API access for client environment. This is blocking deployment. Action required: implement workaround and investigate root cause. Environment: production | Impact: medium,Resolved,Critical,15,,2024-12-03,2023-10-23
156,10,Batch job causing bug [MonitorHub],Issue reported: Batch job causing bug. Customer Smith Gibbs and Martin This is impacting SLA. Action required: escalate to engineering and investigate root cause. Impact: critical | Environment: production,In Progress,Low,18,31,2023-09-29,
157,1,Authentication performance degradation [Internal],Issue reported: Authentication performance degradation. This is causing data inconsistency. Action required: implement workaround and escalate to engineering. First observed: 2024-08-31 | Frequency: intermittent,Resolved,Medium,14,,2023-03-27,2023-05-09
158,6,Login attempt causing crash [Carpenter],Issue reported: Login attempt causing crash. Customer Carpenter Garcia This is causing data inconsistency. Action required: coordinate with customer and apply hotfix. First observed: 2024-07-13 | Frequency: increasing,In Progress,Medium,16,26,2022-01-18,
159,11,Batch job causing error [Internal],Issue reported: Batch job causing error. This is causing data inconsistency. Action required: coordinate with customer and apply hotfix. Environment: pre-prod | First observed: 2024-05-01,Open,Low,10,,2024-04-07,
160,3,Request: API access for production [Davies],Issue reported: Request: API access for production. Customer Davies Johnson This is preventing access. Action required: implement workaround and implement workaround. Environment: pre-prod | First observed: 2023-01-21,Closed,Medium,3,22,2024-08-04,2025-08-26
161,12,Database high latency [Internal],Issue reported: Database high latency. This is causing data inconsistency. Action required: apply hotfix and escalate to engineering. First observed: 2023-12-18 | Environment: production,In Progress,Low,24,,2022-08-22,
162,5,Integration memory leak [DataPipeline],Issue reported: Integration memory leak. Customer Taylor Group This is impacting SLA. Action required: investigate root cause and coordinate with customer. First observed: 2023-02-20 | Impact: high,Open,Low,20,10,2022-10-10,
163,7,Unable to load module - connection refused [SecureGate],Issue reported: Unable to load module - connection refused. Customer Jordan Ltd This is preventing access. Action required: implement workaround and escalate to engineering. Environment: staging | Frequency: increasing,In Progress,Medium,2,6,2023-06-04,
164,5,Report generation causing issue [DataPipeline],Issue reported: Report generation causing issue. Customer Taylor Group This is affecting multiple users. Action required: apply hotfix and apply hotfix. First observed: 2023-04-15 | Frequency: sporadic,Closed,Critical,6,10,2023-10-02,2025-01-02
165,9,Login attempt causing issue [Pilot],Issue reported: Login attempt causing issue. This is blocking deployment. Action required: investigate root cause and apply hotfix. Environment: production | First observed: 2023-09-22,Resolved,Medium,2,,2024-12-29,2024-08-30
166,12,Unable to complete sync - null pointer [Internal],Issue reported: Unable to complete sync - null pointer. This is affecting multiple users. Action required: apply hotfix and implement workaround. First observed: 2023-05-08 | Impact: critical,Resolved,Medium,13,,2022-04-06,2023-01-28
167,5,Batch job causing issue [DataPipeline],Issue reported: Batch job causing issue. This is blocking deployment. Action required: apply hotfix and escalate to engineering. Frequency: sporadic | Impact: high,Resolved,Medium,6,,2024-04-07,2023-12-19
168,5,Authentication bottleneck detected [DataPipeline],Issue reported: Authentication bottleneck detected. Customer Taylor Group This is blocking deployment. Action required: investigate root cause and coordinate with customer. Frequency: sporadic | Environment: multi-region,In Progress,Medium,23,10,2024-07-12,
169,1,Request: Enhanced logging for production [Internal],Issue reported: Request: Enhanced logging for production. This is preventing access. Action required: coordinate with customer and escalate to engineering. Impact: critical | Environment: production,In Progress,Medium,12,,2023-05-19,
170,4,Login attempt causing timeout [POC],Issue reported: Login attempt causing timeout. Customer Rich Spencer This is causing data inconsistency. Action required: escalate to engineering and implement workaround. Environment: production | First observed: 2023-12-15,Open,Medium,21,4,2024-10-28,
171,8,Unable to generate report - timeout error [Rhodes],Issue reported: Unable to generate report - timeout error. Customer Rhodes Burke and Love This is causing data inconsistency. Action required: coordinate with customer and investigate root cause. First observed: 2023-09-08 | Environment: multi-region,Resolved,Medium,15,9,2023-03-20,2024-10-20
172,6,Dashboard performance degradation [Carpenter],Issue reported: Dashboard performance degradation. Customer Carpenter Garcia This is affecting multiple users. Action required: coordinate with customer and apply hotfix. Environment: staging | Frequency: increasing,In Progress,Critical,1,26,2022-01-24,
173,11,Urgent Integration issue in client environment [Internal],Issue reported: Urgent Integration issue in client environment. This is blocking deployment. Action required: escalate to engineering and implement workaround. Frequency: increasing | First observed: 2023-02-07,In Progress,High,25,,2023-05-28,
174,1,Unable to complete sync - null pointer [Internal],Issue reported: Unable to complete sync - null pointer. This is impacting SLA. Action required: investigate root cause and apply hotfix. Environment: multi-region | Impact: user-facing,Resolved,Critical,6,,2022-11-18,2024-04-30
175,12,Unable to access dashboard - connection refused [Internal],Issue reported: Unable to access dashboard - connection refused. This is preventing access. Action required: implement workaround and investigate root cause. First observed: 2024-12-20 | Frequency: sporadic,Resolved,Critical,8,,2023-01-22,2024-04-05
176,5,High priority Service malfunction in development [DataPipeline],Issue reported: High priority Service malfunction in development. Customer Taylor Group This is blocking deployment. Action required: coordinate with customer and escalate to engineering. Environment: staging | First observed: 2024-09-27,Closed,Medium,11,10,2022-12-25,2023-05-08
177,3,Request: Audit trail for development [Davies],Issue reported: Request: Audit trail for development. Customer Davies Johnson This is impacting SLA. Action required: apply hotfix and escalate to engineering. First observed: 2024-05-04 | Impact: medium,In Progress,High,24,22,2022-11-03,
178,6,UI bottleneck detected [Carpenter],Issue reported: UI bottleneck detected. Customer Carpenter Garcia This is affecting multiple users. Action required: investigate root cause and escalate to engineering. Impact: critical | Environment: staging,Resolved,Critical,17,26,2024-08-02,2023-08-27
179,12,Request: Enhanced logging for user workflow [Internal],Issue reported: Request: Enhanced logging for user workflow. This is blocking deployment. Action required: implement workaround and escalate to engineering. Environment: staging | First observed: 2024-05-30,Open,Low,8,,2024-07-19,
180,6,Module performance degradation [Carpenter],Issue reported: Module performance degradation. Customer Carpenter Garcia This is blocking deployment. Action required: implement workaround and implement workaround. Environment: pre-prod | First observed: 2024-03-10,In Progress,High,7,26,2024-06-22,
